SEGMENT_ID,BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,# Accounts,$ Outstandings,# New accounts,$ New accounts,Interest rate,$ Vehicle type car/van,$ Vehicle type SUV/truck,$ Vehicle type sport/luxury/convertible,$ Vehicle type unknown,$ Repossession,$ Current Month Repossession,$ Gross contractual charge-offs,$ Bankruptcy charge-offs,$ Recoveries,$ Net charge-offs,Adjustment Factor,$ Ever 30DPD in last 12 months,$ Ever 60DPD in last 12 months,Projected Value,Actual Sale Proceeds,Original Term ≤ 48 Months,Original Term 49-60 Months,Original Term 61-72 Months,Original Term > 72 Months,$ Origination Channel (Direct),$ Loss Mitigation,$ Joint Application,Probability of Default (PD),Loss Given Default (LGD),Expected Loss Given Default (ELGD),Risk-Weighted Asset (RWA),$ Unpaid Principal Balance at Charge-off,Percent Loss Severity (3-Month Lagged),Weighted Average Life of Loans
468418456533,Bank 234,1257678,03/2024,Auto,870,905590.25,166,374082.23,4.61,277900.6,167506.9,451786.64,4561.5,7025.48,6182.32,46039.79,29218.26,40663.41,31768.83,3715.19,2807.4,96866.49,35424.07,23022.32,151531.15,15697.43,343028.74,403800.17,137483.33,253743.05,91095.24,0.9165,0.2873,0.6843,321515.84,236312.79,0.9879,75
336411017939,Bank 178,6763422,03/2019,Auto,220,319528.17,400,20459.03,27.27,82960.59,138990.51,187082.83,4757.75,23346.65,7753.01,11062.67,528.38,38927.51,11682.46,1480.17,3255.93,82216.44,33795.09,23539.22,266803.08,29882.64,394706.8,478947.64,293826.35,457452.83,100308.86,0.9927,0.4863,0.3929,303851.15,160988.18,0.37,12
215354297048,Bank 428,1588007,04/2022,Auto,493,910484.91,28,360572.28,21.19,105303.61,79176.21,125290.57,1893.16,49191.87,4148.26,47788.87,48530.79,352.79,1282.44,-90.45,61552.46,4905.55,45213.19,7345.66,374308.57,129665.45,442561.67,205005.18,472045.48,4717.09,193848.54,0.293,0.1136,0.2964,283165.62,303095.87,0.6118,34
625100542931,Bank 906,5628314,10/2023,Auto,707,848703.31,416,230400.75,18.02,127677.39,94098.63,367209.01,4361.46,34998.37,7955.43,6881.02,11040.92,12991.6,37528.87,-4123.7,4451.14,47415.02,42568.96,31484.6,207324.73,165062.77,215249.45,215072,102725.07,189890.61,344162,0.4497,0.3952,0.0396,292241.8,451033.83,0.717,73
576690172753,Bank 661,6793256,06/2022,Auto,505,483129.19,382,173117.18,6.96,482947.9,108639.35,137501.35,675.53,12860.52,885.32,20625.95,17242.2,43615.05,28368.03,2453.79,76129.88,79453.89,33409.44,46466.75,186348.37,11868.84,377930.82,103016.6,416590.3,490238.66,250171.1,0.2051,0.2511,0.6311,103109.08,237559.66,0.6243,12
82328127941,Bank 572,1287450,12/2015,Auto,817,120254.83,358,436308.07,12.2,78440.34,53123.3,391799.49,4593.71,14337.09,8819.49,14456.58,48925.27,26485.19,40681.35,-3695.09,4456.81,2511.36,32396.57,12981.26,54670.18,415295.03,229973.23,337063.89,382555.56,30166.07,195543.02,0.983,0.3167,0.8069,290441.14,88000.24,0.9772,70
28182307986,Bank 371,7967498,07/2021,Auto,74,621908.79,13,271660.89,22.8,400498.88,174988.34,419519.66,3996.94,11786.76,9353.05,39849.04,26273.33,8310.69,1784.04,-1070.3,7.03,74931.44,35236.95,38723.93,361717.19,305056.64,490730.79,65556.61,69008.27,304250.93,205519.15,0.2278,0.2288,0.928,141272.17,230148.4,0.3759,32
942428332175,Bank 844,6098595,12/2017,Auto,13,890127.61,64,331635.36,7.64,454981.99,24341.11,50842.1,1096.36,11747.22,6809.31,42416.9,38195.76,46755.1,23687.99,2690.42,63984.62,40902.25,18814.49,35271.55,289370.91,478702.9,258306.48,404591.22,107866.16,313775.14,354042.48,0.1397,0.0089,0.7519,341205.43,51089.93,0.6656,62
613544259283,Bank 271,5351782,08/2018,Auto,311,687360.71,99,17939,5.79,128299.34,156076.04,243316.46,1720.98,20966.77,6633.8,47026.98,16266.99,19128.57,20169.04,-2079.9,24217.89,14121.48,10671.04,29440.78,327780.54,253660.81,491362.25,1858.16,25372.68,19493.93,5798.68,0.3346,0.7014,0.4328,410294.17,15748.72,0.8542,28
914397379630,Bank 572,1520674,02/2019,Auto,640,298129.32,408,98008.17,21.6,495615.97,310080.62,105881.75,3838.51,41272.64,9129.84,32881.39,4168.03,21701.48,5397.67,-267.71,90629.47,4329.14,6372.49,13958.83,245531.37,10908.62,46200.23,435868.89,285270.88,315572.38,405072.13,0.9202,0.8256,0.4381,171283.59,89444.3,0.5309,21
